country,year,value
Afghanistan,1800,1.33
Angola,1800,0.779
Albania,1800,0.919
Andorra,1800,1.88
UAE,1800,1.65
Argentina,1800,2.08
Armenia,1800,1.36
Antigua and Barbuda,1800,1.06
Australia,1800,1.34
Austria,1800,3.21
Azerbaijan,1800,1.49
Burundi,1800,0.928
Belgium,1800,3.55
Benin,1800,1.12
Burkina Faso,1800,1.03
Bangladesh,1800,1.8
Bulgaria,1800,2.61
Bahrain,1800,1.09
Bahamas,1800,2.04
Bosnia and Herzegovina,1800,2.27
Belarus,1800,0.837
Belize,1800,1.05
Bolivia,1800,2.95
Brazil,1800,0.999
Barbados,1800,1.64
Brunei,1800,2.25
Bhutan,1800,1.07
Botswana,1800,0.367
Central African Republic,1800,0.795
Canada,1800,2.16
Switzerland,1800,4.51
Chile,1800,1.25
China,1800,1.25
Cote d'Ivoire,1800,1.47
Cameroon,1800,0.913
"Congo, Dem. Rep.",1800,0.609
"Congo, Rep.",1800,0.516
Colombia,1800,1.51
Comoros,1800,2.32
Cape Verde,1800,1.03
Costa Rica,1800,0.671
Cuba,1800,0.929
Cyprus,1800,1.5
Czech Republic,1800,1.87
Germany,1800,3.0
Djibouti,1800,2.03
Dominica,1800,0.701
Denmark,1800,3.15
Dominican Republic,1800,1.85
Algeria,1800,0.878
Ecuador,1800,0.617
Egypt,1800,1.23
Eritrea,1800,1.27
Spain,1800,2.12
Estonia,1800,1.86
Ethiopia,1800,2.87
Finland,1800,1.95
Fiji,1800,1.14
France,1800,2.81
"Micronesia, Fed. Sts.",1800,1.68
Gabon,1800,0.361
UK,1800,4.46
Georgia,1800,1.95
Ghana,1800,1.01
Guinea,1800,0.41
Gambia,1800,0.98
Guinea-Bissau,1800,1.36
Equatorial Guinea,1800,0.459
Greece,1800,1.84
Grenada,1800,1.39
Guatemala,1800,0.875
Guyana,1800,1.7
"Hong Kong, China",1800,1.76
Honduras,1800,1.26
Croatia,1800,1.25
Haiti,1800,0.858
Hungary,1800,1.9
Indonesia,1800,0.637
India,1800,2.07
Ireland,1800,1.43
Iran,1800,1.35
Iraq,1800,1.79
Iceland,1800,1.56
Israel,1800,1.29
Italy,1800,3.24
Jamaica,1800,2.06
Jordan,1800,2.0
Japan,1800,2.07
Kazakhstan,1800,0.809
Kenya,1800,2.05
Kyrgyz Republic,1800,1.16
Cambodia,1800,1.16
Kiribati,1800,2.17
St. Kitts and Nevis,1800,1.63
South Korea,1800,1.36
Kuwait,1800,1.59
Lao,1800,2.01
Lebanon,1800,2.44
Liberia,1800,2.22
Libya,1800,1.27
St. Lucia,1800,0.263
Sri Lanka,1800,1.35
Lesotho,1800,1.29
Lithuania,1800,0.876
Luxembourg,1800,2.19
Latvia,1800,1.11
Morocco,1800,1.41
Monaco,1800,0.967
Moldova,1800,0.963
Madagascar,1800,0.93
Maldives,1800,0.641
Mexico,1800,1.23
Marshall Islands,1800,1.57
North Macedonia,1800,0.793
Mali,1800,0.848
Malta,1800,1.29
Myanmar,1800,1.96
Montenegro,1800,1.57
Mongolia,1800,0.804
Mozambique,1800,1.53
Mauritania,1800,0.62
Mauritius,1800,1.3
Malawi,1800,2.18
