country,year,value
Afghanistan,1800,3.28M
Angola,1800,1.57M
Albania,1800,400k
Andorra,1800,2650
UAE,1800,40.2k
Argentina,1800,534k
Armenia,1800,413k
Antigua and Barbuda,1800,37k
Australia,1800,200k
Austria,1800,3M
Azerbaijan,1800,880k
Burundi,1800,899k
Belgium,1800,3.25M
Benin,1800,637k
Burkina Faso,1800,1.67M
Bangladesh,1800,19.2M
Bulgaria,1800,2.25M
Bahrain,1800,64.5k
Bahamas,1800,27.4k
Bosnia and Herzegovina,1800,852k
Belarus,1800,2.36M
Belize,1800,25.5k
Bolivia,1800,887k
Brazil,1800,2.5M
Barbados,1800,81.7k
Brunei,1800,2260
Bhutan,1800,392k
Botswana,1800,121k
Central African Republic,1800,479k
Canada,1800,500k
Switzerland,1800,1.75M
Chile,1800,771k
China,1800,330M
Cote d'Ivoire,1800,1.09M
Cameroon,1800,1.86M
"Congo, Dem. Rep.",1800,5.16M
"Congo, Rep.",1800,314k
Colombia,1800,1.21M
Comoros,1800,56.3k
Cape Verde,1800,55.7k
Costa Rica,1800,53k
Cuba,1800,272k
Cyprus,1800,184k
Czech Republic,1800,5.52M
Germany,1800,18M
Djibouti,1800,22.8k
Dominica,1800,19.9k
Denmark,1800,1M
Dominican Republic,1800,150k
Algeria,1800,2.5M
Ecuador,1800,500k
Egypt,1800,3.5M
Eritrea,1800,205k
Spain,1800,11.5M
Estonia,1800,334k
Ethiopia,1800,12M
Finland,1800,800k
Fiji,1800,131k
France,1800,29M
"Micronesia, Fed. Sts.",1800,16.4k
Gabon,1800,158k
UK,1800,10.8M
Georgia,1800,1.07M
Ghana,1800,2.02M
Guinea,1800,984k
Gambia,1800,103k
Guinea-Bissau,1800,218k
Equatorial Guinea,1800,80.4k
Greece,1800,2.25M
Grenada,1800,29.4k
Guatemala,1800,463k
Guyana,1800,166k
"Hong Kong, China",1800,20k
Honduras,1800,130k
Holy See,1800,905
Croatia,1800,1.23M
Haiti,1800,500k
Hungary,1800,3.25M
Indonesia,1800,16.1M
India,1800,201M
Ireland,1800,5.25M
Iran,1800,6M
Iraq,1800,1M
Iceland,1800,61.4k
Israel,1800,210k
Italy,1800,19M
Jamaica,1800,300k
Jordan,1800,200k
Japan,1800,28M
Kazakhstan,1800,2.04M
Kenya,1800,2.57M
Kyrgyz Republic,1800,530k
Cambodia,1800,2.09M
Kiribati,1800,17.9k
St. Kitts and Nevis,1800,17.2k
South Korea,1800,9.39M
Kuwait,1800,81.3k
Lao,1800,470k
Lebanon,1800,300k
Liberia,1800,314k
Libya,1800,230k
St. Lucia,1800,24k
Liechtenstein,1800,5800
Sri Lanka,1800,1.75M
Lesotho,1800,276k
Lithuania,1800,779k
Luxembourg,1800,127k
Latvia,1800,591k
Morocco,1800,2.5M
Monaco,1800,7790
Moldova,1800,713k
Madagascar,1800,1.5M
Maldives,1800,42.4k
Mexico,1800,5.1M
Marshall Islands,1800,5830
North Macedonia,1800,392k
Mali,1800,1.4M
Malta,1800,134k
Myanmar,1800,6M
Montenegro,1800,127k
Mongolia,1800,600k
Mozambique,1800,2M
Mauritania,1800,383k
Mauritius,1800,59k
Malawi,1800,737k
Malaysia,1800,287k
Namibia,1800,229k
Niger,1800,853k
Nigeria,1800,12.1M
Nicaragua,1800,186k
Netherlands,1800,2M
Norway,1800,900k
Nepal,1800,4M
Nauru,1800,1830
New Zealand,1800,200k
Oman,1800,300k
Pakistan,1800,13.1M
Panama,1800,75.6k
Peru,1800,1.27M
Philippines,1800,2.5M
Palau,1800,3880
Papua New Guinea,1800,755k
Poland,1800,9M
North Korea,1800,4.34M
Portugal,1800,2.75M
Paraguay,1800,300k
Palestine,1800,166k
Qatar,1800,14.1k
Romania,1800,5.5M
Russia,1800,31.3M
Rwanda,1800,928k
Saudi Arabia,1800,2M
Sudan,1800,3.99M
Senegal,1800,1.01M
Singapore,1800,30k
Solomon Islands,1800,57k
Sierra Leone,1800,794k
El Salvador,1800,248k
San Marino,1800,5490
Somalia,1800,989k
Serbia,1800,2.15M
South Sudan,1800,1.03M
Sao Tome and Principe,1800,22.7k
Suriname,1800,80.7k
Slovak Republic,1800,2.14M
Slovenia,1800,470k
Sweden,1800,2.5M
Eswatini,1800,86k
Seychelles,1800,12.5k
Syria,1800,1.25M
Chad,1800,1.43M
Togo,1800,446k
Thailand,1800,3M
Tajikistan,1800,467k
Turkmenistan,1800,367k
Timor-Leste,1800,137k
Tonga,1800,18.7k
Trinidad and Tobago,1800,20k
Tunisia,1800,800k
Turkey,1800,9.76M
Tuvalu,1800,2500
Taiwan,1800,2M
Tanzania,1800,3M
Uganda,1800,2.5M
Ukraine,1800,11.2M
Uruguay,1800,55k
USA,1800,6M
Uzbekistan,1800,1.92M
St. Vincent and the Grenadines,1800,25.8k
Venezuela,1800,1M
Vietnam,1800,4M
Vanuatu,1800,27.8k
Samoa,1800,47.3k
Yemen,1800,2.59M
South Africa,1800,1.45M
Zambia,1800,747k
Zimbabwe,1800,1.09M
Afghanistan,1801,3.28M
Angola,1801,1.57M
Albania,1801,402k
Andorra,1801,2650
UAE,1801,40.2k
Argentina,1801,520k
Armenia,1801,413k
Antigua and Barbuda,1801,37k
Australia,1801,205k
Austria,1801,3.02M
Azerbaijan,1801,880k
Burundi,1801,899k
Belgium,1801,3.26M
Benin,1801,637k
Burkina Faso,1801,1.67M
Bangladesh,1801,19.2M
Bulgaria,1801,2.25M
Bahrain,1801,64.5k
Bahamas,1801,27.4k
Bosnia and Herzegovina,1801,852k
Belarus,1801,2.36M
Belize,1801,25.5k
Bolivia,1801,897k
Brazil,1801,2.57M
Barbados,1801,81.7k
Brunei,1801,2260
Bhutan,1801,392k
Botswana,1801,121k
Central African Republic,1801,479k
Canada,1801,512k
Switzerland,1801,1.76M
Chile,1801,771k
China,1801,332M
Cote d'Ivoire,1801,1.09M
Cameroon,1801,1.86M
"Congo, Dem. Rep.",1801,5.16M
"Congo, Rep.",1801,314k
Colombia,1801,1.21M
Comoros,1801,56.3k
Cape Verde,1801,55.7k
Costa Rica,1801,53.5k
Cuba,1801,293k
Cyprus,1801,184k
Czech Republic,1801,5.52M
Germany,1801,18.3M
Djibouti,1801,22.8k
Dominica,1801,19.9k
Denmark,1801,1.01M
Dominican Republic,1801,146k
Algeria,1801,2.51M
Ecuador,1801,500k
Egypt,1801,3.53M
Eritrea,1801,205k
Spain,1801,11.5M
Estonia,1801,334k
Ethiopia,1801,12M
Finland,1801,815k
Fiji,1801,131k
France,1801,29.1M
"Micronesia, Fed. Sts.",1801,16.4k
Gabon,1801,158k
UK,1801,10.9M
Georgia,1801,1.07M
Ghana,1801,2.02M
Guinea,1801,984k
Gambia,1801,103k
Guinea-Bissau,1801,218k
Equatorial Guinea,1801,80.4k
Greece,1801,2.25M
Grenada,1801,29.4k
Guatemala,1801,469k
Guyana,1801,166k
"Hong Kong, China",1801,20k
Honduras,1801,130k
Holy See,1801,905
Croatia,1801,1.23M
Haiti,1801,509k
Hungary,1801,3.29M
Indonesia,1801,16.2M
India,1801,201M
Ireland,1801,5.33M
Iran,1801,6.03M
Iraq,1801,1M
Iceland,1801,61.4k
Israel,1801,210k
Italy,1801,19.1M
Jamaica,1801,304k
Jordan,1801,201k
Japan,1801,28.1M
Kazakhstan,1801,2.04M
Kenya,1801,2.59M
Kyrgyz Republic,1801,530k
Cambodia,1801,2.09M
Kiribati,1801,17.9k
St. Kitts and Nevis,1801,17.2k
South Korea,1801,9.39M
Kuwait,1801,81.3k
Lao,1801,470k
Lebanon,1801,302k
Liberia,1801,314k
Libya,1801,230k
St. Lucia,1801,24k
Liechtenstein,1801,5800
Sri Lanka,1801,1.72M
Lesotho,1801,276k
Lithuania,1801,779k
Luxembourg,1801,127k
Latvia,1801,591k
Morocco,1801,2.51M
Monaco,1801,7790
Moldova,1801,713k
Madagascar,1801,1.51M
Maldives,1801,42.4k
Mexico,1801,5.17M
Marshall Islands,1801,5830
North Macedonia,1801,392k
Mali,1801,1.4M
Malta,1801,134k
Myanmar,1801,5.84M
Montenegro,1801,127k
Mongolia,1801,601k
Mozambique,1801,2M
Mauritania,1801,383k
Mauritius,1801,60.7k
Malawi,1801,753k
Malaysia,1801,287k
Namibia,1801,226k
Niger,1801,853k
Nigeria,1801,12.1M
Nicaragua,1801,186k
Netherlands,1801,2M
Norway,1801,898k
Nepal,1801,3.99M
Nauru,1801,1830
New Zealand,1801,193k
Oman,1801,301k
Pakistan,1801,13.1M
Panama,1801,76.2k
Peru,1801,1.27M
Philippines,1801,2.44M
Palau,1801,3880
Papua New Guinea,1801,755k
Poland,1801,9.07M
North Korea,1801,4.34M
Portugal,1801,2.78M
Paraguay,1801,289k
Palestine,1801,166k
Qatar,1801,14.1k
Romania,1801,5.54M
Russia,1801,31.3M
Rwanda,1801,928k
Saudi Arabia,1801,2M
Sudan,1801,4M
Senegal,1801,1.01M
Singapore,1801,30k
Solomon Islands,1801,57k
Sierra Leone,1801,794k
El Salvador,1801,238k
San Marino,1801,5490
Somalia,1801,989k
Serbia,1801,2.15M
South Sudan,1801,1.03M
Sao Tome and Principe,1801,22.7k
Suriname,1801,80.7k
Slovak Republic,1801,2.14M
Slovenia,1801,470k
Sweden,1801,2.49M
Eswatini,1801,85.5k
Seychelles,1801,12.5k
Syria,1801,1.25M
Chad,1801,1.44M
Togo,1801,446k
Thailand,1801,3.07M
Tajikistan,1801,467k
Turkmenistan,1801,367k
Timor-Leste,1801,137k
Tonga,1801,18.7k
Trinidad and Tobago,1801,21.1k
Tunisia,1801,804k
Turkey,1801,9.78M
Tuvalu,1801,2500
Taiwan,1801,2M
Tanzania,1801,3M
Uganda,1801,2.48M
Ukraine,1801,11.2M
Uruguay,1801,55k
USA,1801,6.11M
Uzbekistan,1801,1.92M
